Designator,Mid X,Mid Y,Layer,Rotation
U513,304,-118.4,top,180
U514,307.9,-124.4,top,180
U515,298.1,-134.1,top,180
U516,303.3,-139.4,top,180
U517,308,-144.3,top,180
U518,312.5,-148.6,top,180
U519,298.7,-163.2,top,180
U520,304.2,-167.3,top,180
U521,309.183522,-171.1,top,180
U522,313.6,-174.6,top,180
U523,298.6,-192.1,top,180
U524,303.8,-194.8,top,180
U525,309.2,-197.4,top,180
U526,314.5,-200.2,top,180
U527,300.1,-222.1,top,180
U528,304.6,-224.1,top,180
U529,309.3,-226,top,180
U530,313.8,-228,top,180
U531,300.2,-252.2,top,180
U532,305.6,-253,top,180
U533,310.8,-254,top,180
U534,301.3,-286.3,top,180
U535,305.9,-285.8,top,180
U536,310.283522,-285.2,top,180
